State,Measures,Year of Year,Values
Idaho,Highway vehicle-miles traveled (millions),2012,16314.57164
Idaho,Licensed drivers,2012,1092977
Idaho,Highway vehicle-miles traveled (millions),2011,15936.59932
Idaho,Licensed drivers,2011,1083992
Idaho,Highway vehicle-miles traveled (millions),2010,15801.20628
Idaho,Licensed drivers,2010,1069542
Illinois,Highway vehicle-miles traveled (millions),2021,97529.583
Illinois,Licensed drivers,2021,8364843
Illinois,Highway vehicle-miles traveled (millions),2020,94120.59736
Illinois,Licensed drivers,2020,8225298
Illinois,Highway vehicle-miles traveled (millions),2019,107524.6445
Illinois,Licensed drivers,2019,8546932
Illinois,Highway vehicle-miles traveled (millions),2018,107954.2539
Illinois,Licensed drivers,2018,8714788
Illinois,Person miles (millions),2017,297054
Illinois,Person trips (millions),2017,30158
Illinois,Persons traveling (thousands),2017,23968
Illinois,Highway vehicle-miles traveled (millions),2017,108011.2553
Illinois,Licensed drivers,2017,8529404
Illinois,Highway vehicle-miles traveled (millions),2016,107314
Illinois,Licensed drivers,2016,8514644
Illinois,Highway vehicle-miles traveled (millions),2015,105223.406
Illinois,Licensed drivers,2015,8462193
Illinois,Highway vehicle-miles traveled (millions),2014,104905.5064
Illinois,Licensed drivers,2014,8373565
Illinois,Highway vehicle-miles traveled (millions),2013,105297.1041
Illinois,Licensed drivers,2013,8261582
Illinois,Highway vehicle-miles traveled (millions),2012,104578.407
Illinois,Licensed drivers,2012,8235745
Illinois,Highway vehicle-miles traveled (millions),2011,103234.0169
Illinois,Licensed drivers,2011,8373969
Illinois,Highway vehicle-miles traveled (millions),2010,105787.8524
Illinois,Licensed drivers,2010,8373969
Indiana,Highway vehicle-miles traveled (millions),2021,78640.39604
Indiana,Licensed drivers,2021,4636114
Indiana,Highway vehicle-miles traveled (millions),2020,76607.74049
Indiana,Licensed drivers,2020,4532708
Indiana,Highway vehicle-miles traveled (millions),2019,82719.12299
Indiana,Licensed drivers,2019,4589405
Indiana,Highway vehicle-miles traveled (millions),2018,81528.8118
Indiana,Licensed drivers,2018,4589405
Indiana,Person miles (millions),2017,155168
Indiana,Person trips (millions),2017,15538
Indiana,Persons traveling (thousands),2017,11904
Indiana,Highway vehicle-miles traveled (millions),2017,81751.85677
Indiana,Licensed drivers,2017,4553584
Indiana,Highway vehicle-miles traveled (millions),2016,83183
Indiana,Licensed drivers,2016,4553259
Indiana,Highway vehicle-miles traveled (millions),2015,78818.67261
Indiana,Licensed drivers,2015,4467848
Indiana,Highway vehicle-miles traveled (millions),2014,79203.62949
Indiana,Licensed drivers,2014,4448099
Indiana,Highway vehicle-miles traveled (millions),2013,78311.29441
Indiana,Licensed drivers,2013,4500403
Indiana,Highway vehicle-miles traveled (millions),2012,78922.58
Indiana,Licensed drivers,2012,5375973
Indiana,Highway vehicle-miles traveled (millions),2011,76485.23088
Indiana,Licensed drivers,2011,6569665
Indiana,Highway vehicle-miles traveled (millions),2010,75760.50984
Indiana,Licensed drivers,2010,5550469
Iowa,Highway vehicle-miles traveled (millions),2021,33039.27764
Iowa,Licensed drivers,2021,2345355
Iowa,Highway vehicle-miles traveled (millions),2020,29751.49674
Iowa,Licensed drivers,2020,2268916
Iowa,Highway vehicle-miles traveled (millions),2019,33537.01904
Iowa,Licensed drivers,2019,2274431
Iowa,Highway vehicle-miles traveled (millions),2018,33282.40004
Iowa,Licensed drivers,2018,2260271
Iowa,Person miles (millions),2017,89406
Iowa,Person trips (millions),2017,8208
Iowa,Persons traveling (thousands),2017,6392
Iowa,Highway vehicle-miles traveled (millions),2017,33482.08769
Iowa,Licensed drivers,2017,2246829
Iowa,Highway vehicle-miles traveled (millions),2016,33337
Iowa,Licensed drivers,2016,2245640
Iowa,Highway vehicle-miles traveled (millions),2015,33160.97573
Iowa,Licensed drivers,2015,2224130
Iowa,Highway vehicle-miles traveled (millions),2014,31413.67447
Iowa,Licensed drivers,2014,2227950
Iowa,Highway vehicle-miles traveled (millions),2013,31641.00166
Iowa,Licensed drivers,2013,2143665
Iowa,Highway vehicle-miles traveled (millions),2012,31596.24047
Iowa,Licensed drivers,2012,2217304
Iowa,Highway vehicle-miles traveled (millions),2011,31274.31114
Iowa,Licensed drivers,2011,2191715
Iowa,Highway vehicle-miles traveled (millions),2010,31388.61561
Iowa,Licensed drivers,2010,2166759
Kansas,Highway vehicle-miles traveled (millions),2021,31692.83414
Kansas,Licensed drivers,2021,2089707
Kansas,Highway vehicle-miles traveled (millions),2020,27853.80189
Kansas,Licensed drivers,2020,2004302
Kansas,Highway vehicle-miles traveled (millions),2019,31842.51993
Kansas,Licensed drivers,2019,2154260
Kansas,Highway vehicle-miles traveled (millions),2018,32190.41298
Kansas,Licensed drivers,2018,2149430
Kansas,Person miles (millions),2017,52792
Kansas,Person trips (millions),2017,6820
Kansas,Persons traveling (thousands),2017,5128
Kansas,Highway vehicle-miles traveled (millions),2017,32258.18896
Kansas,Licensed drivers,2017,2029869
Kansas,Highway vehicle-miles traveled (millions),2016,32103
Kansas,Licensed drivers,2016,2030025
Kansas,Highway vehicle-miles traveled (millions),2015,31379.12459
Kansas,Licensed drivers,2015,2028657
Kansas,Highway vehicle-miles traveled (millions),2014,30709.71729
Kansas,Licensed drivers,2014,2021271
Kansas,Highway vehicle-miles traveled (millions),2013,30208.2842
Kansas,Licensed drivers,2013,2017759
Kansas,Highway vehicle-miles traveled (millions),2012,30572.47519
Kansas,Licensed drivers,2012,2018029
Kansas,Highway vehicle-miles traveled (millions),2011,30021.24703
Kansas,Licensed drivers,2011,2025581
Kansas,Highway vehicle-miles traveled (millions),2010,29899.65838
Kansas,Licensed drivers,2010,2033092
Kentucky,Highway vehicle-miles traveled (millions),2021,48111.36861
Kentucky,Licensed drivers,2021,2980331
Kentucky,Highway vehicle-miles traveled (millions),2020,46535.80644
Kentucky,Licensed drivers,2020,2905632
Kentucky,Highway vehicle-miles traveled (millions),2019,49410.33181
Kentucky,Licensed drivers,2019,3030329
Kentucky,Highway vehicle-miles traveled (millions),2018,49543.60624
Kentucky,Licensed drivers,2018,3032530
Kentucky,Person miles (millions),2017,131022
Kentucky,Person trips (millions),2017,11722
Kentucky,Persons traveling (thousands),2017,8890
Kentucky,Highway vehicle-miles traveled (millions),2017,49239.3341
Kentucky,Licensed drivers,2017,3019008
Kentucky,Highway vehicle-miles traveled (millions),2016,49313
Kentucky,Licensed drivers,2016,3031447
Kentucky,Highway vehicle-miles traveled (millions),2015,48674.69601
Kentucky,Licensed drivers,2015,3021266
Kentucky,Highway vehicle-miles traveled (millions),2014,47940.63478
Kentucky,Licensed drivers,2014,3004919
Kentucky,Highway vehicle-miles traveled (millions),2013,46995.99686
Kentucky,Licensed drivers,2013,3019283
Kentucky,Highway vehicle-miles traveled (millions),2012,47343.94452
Kentucky,Licensed drivers,2012,2985234
Kentucky,Highway vehicle-miles traveled (millions),2011,48061.31448
Kentucky,Licensed drivers,2011,2959881
Kentucky,Highway vehicle-miles traveled (millions),2010,48006.7429
Kentucky,Licensed drivers,2010,2950191
Louisiana,Highway vehicle-miles traveled (millions),2021,54727.65668
Louisiana,Licensed drivers,2021,3437733
Louisiana,Highway vehicle-miles traveled (millions),2020,48374.10643
Louisiana,Licensed drivers,2020,3416648
Louisiana,Highway vehicle-miles traveled (millions),2019,51360.30324
Louisiana,Licensed drivers,2019,3435168
Louisiana,Highway vehicle-miles traveled (millions),2018,50045.42745
Louisiana,Licensed drivers,2018,3425435
Louisiana,Person miles (millions),2017,81590
Louisiana,Person trips (millions),2017,10598
Louisiana,Persons traveling (thousands),2017,7658
Louisiana,Highway vehicle-miles traveled (millions),2017,49220.89766
Louisiana,Licensed drivers,2017,3425656
Louisiana,Highway vehicle-miles traveled (millions),2016,49156
Louisiana,Licensed drivers,2016,3395095
Louisiana,Highway vehicle-miles traveled (millions),2015,48180.25257
Louisiana,Licensed drivers,2015,3357091
Louisiana,Highway vehicle-miles traveled (millions),2014,48251.73611
Louisiana,Licensed drivers,2014,3312630
Louisiana,Highway vehicle-miles traveled (millions),2013,47757.96708
Louisiana,Licensed drivers,2013,3278143
Louisiana,Highway vehicle-miles traveled (millions),2012,46889.04026
Louisiana,Licensed drivers,2012,2923744
Louisiana,Highway vehicle-miles traveled (millions),2011,46512.71124
Louisiana,Licensed drivers,2011,3186227
Louisiana,Highway vehicle-miles traveled (millions),2010,45438.69082
Louisiana,Licensed drivers,2010,3133631
Maine,Highway vehicle-miles traveled (millions),2021,14559.825
Maine,Licensed drivers,2021,1056535
Maine,Highway vehicle-miles traveled (millions),2020,13086.41725
Maine,Licensed drivers,2020,1047893
Maine,Highway vehicle-miles traveled (millions),2019,14871.46816
Maine,Licensed drivers,2019,1046129
Maine,Highway vehicle-miles traveled (millions),2018,14783.55489
Maine,Licensed drivers,2018,1040582
Maine,Person miles (millions),2017,39812
Maine,Person trips (millions),2017,3694
Maine,Persons traveling (thousands),2017,3222
Maine,Highway vehicle-miles traveled (millions),2017,14738.11789
Maine,Licensed drivers,2017,1032703
Maine,Highway vehicle-miles traveled (millions),2016,14838
