RevenueType,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Highways,"1,781,477","1,068,879","2,271,219","1,479,961","15,630,560","1,946,007","1,585,220","650,888","9,121,860","2,824,989","556,838","920,471","4,912,529","3,013,419","2,347,346","1,009,205","2,004,597","1,445,964","734,387","2,864,143","2,433,337","3,951,165","3,091,304","1,128,882","1,467,590","746,869","811,826","905,590","517,538","3,485,592","766,340","7,876,706","6,184,868","767,111","4,117,865","2,399,580","1,275,578","9,718,354","522,274","1,888,652","617,677","1,868,246","17,751,237","1,461,572","443,752","5,318,069","3,150,750","1,449,539","2,868,184","494,362"
Police protection,"190,778","157,952","297,521","111,318","2,052,742","271,784","265,481","153,581","651,983","496,511","47,780","72,790","525,769","276,793","110,542","120,038","228,159","371,145","94,938","730,343","600,701","555,139","566,883","169,222","256,644","59,375","90,949","96,389","71,891","825,061","158,221","1,099,282","595,420","43,656","530,387","183,130","240,458","1,207,735","95,111","185,035","50,558","236,262","1,137,981","153,012","95,531","731,010","482,501","86,401","53,378","41,029"
Correction,"631,971","330,783","1,112,554","355,923","8,739,324","1,100,121","646,431","358,863","2,784,002","1,309,640","241,512","315,760","1,680,885","746,506","293,910","366,551","632,805","707,829","166,815","1,489,061","1,607,730","1,938,867","608,020","328,748","804,782","214,644","382,990","336,088","132,161","1,597,787","507,215","3,186,296","1,470,874","110,201","1,890,469","623,158","971,910","2,239,988","229,565","522,888","130,547","966,631","4,090,182","382,901","145,208","1,627,430","1,033,601","341,114","1,018,987","141,336"
Natural resources,"251,389","433,240","354,492","281,784","8,512,380","410,711","220,354","72,384","1,792,442","620,097","147,355","305,334","284,272","433,321","429,704","228,677","468,276","766,561","148,889","677,773","287,917","463,896","674,113","293,779","314,355","283,745","230,118","145,871","55,541","510,683","238,295","710,604","765,349","212,324","422,987","190,744","537,322","771,166","79,431","224,054","171,492","392,919","829,402","247,720","114,054","307,419","959,608","268,843","572,293","222,796"
Parks and recreation,"30,356","15,228","103,326","67,986","1,145,802","112,432","52,831","61,499","171,513","218,810","62,983","45,648","290,376","58,597","31,022","38,912","110,966","350,106","8,227","154,131","224,698","183,966","286,807","34,918","41,956","17,690","56,854","34,343","28,204","189,550","57,395","761,362","234,646","27,064","124,458","71,547","118,844","354,795","37,384","137,610","42,077","101,504","264,584","58,889","23,325","180,569","264,578","63,180","26,597","22,211"
Governmental administration,"695,439","716,880","667,832","720,232","9,230,200","1,541,284","1,578,069","571,357","2,577,999","1,125,334","595,843","518,583","1,982,477","840,776","587,018","548,858","1,080,743","801,097","484,161","1,659,511","2,551,119","1,762,722","1,916,608","490,056","923,987","418,124","330,986","455,386","776,934","2,257,905","664,842","6,456,232","2,208,796","208,017","2,221,009","702,677","1,871,936","3,239,181","562,142","696,491","238,176","1,329,413","2,685,587","1,150,453","200,452","1,979,242","946,912","608,642","1,006,272","413,274"
Interest on general debt,"350,011","201,374","316,809","163,022","5,245,251","837,195","2,082,602","231,699","805,191","577,975","106,596","164,116","4,187,544","961,043","224,434","160,767","675,817","799,380","130,294","1,338,351","2,748,254","1,752,635","611,785","311,206","755,644","118,281","59,570","146,431","316,247","2,517,909","387,762","4,196,143","662,960","106,630","1,204,397","238,280","339,641","1,716,235","416,916","234,183","132,218","366,979","1,842,390","223,666","64,837","1,168,539","1,407,578","298,251","499,924","26,327"
Other and unallocable,"1,836,634","1,267,761","2,685,923","793,828","11,868,045","1,501,451","2,401,936","597,466","9,728,764","1,663,141","2,884,639","770,219","12,769,473","1,792,513","785,059","495,201","1,127,919","2,750,048","574,189","2,513,079","7,224,844","4,171,712","3,022,539","1,971,826","1,505,976","466,203","1,207,043","2,167,956","575,845","4,286,446","2,783,846","10,177,640","2,747,838","1,241,381","3,129,962","857,383","2,180,083","2,476,338","580,006","1,960,051","386,499","1,766,386","4,575,719","699,235","290,550","2,606,596","2,000,579","884,767","3,841,620","652,100"
Utility expenditure,75,"104,094","22,827","5,392","2,398,894","13,702","553,681","174,516","358,988","30,976",,"2,734","1,025,107","96,500","43,514",,"63,356","10,018","30,444","1,871,864","3,413,933","340,951","512,396",,"58,781","18,094",,"47,992","9,130","3,094,806","14,340","18,875,492","259,600","214,131","45,611","696,900","115,940","1,552,529","128,795","1,720,553","11,756",439,"118,048",,"38,758","610,243","156,175","14,869","28,636","22,319"
Liquor stores expenditure,"351,058",,,,,,,,,,,"143,619",,,"239,477",,,,"133,175",,,"953,839",,"307,076",,"89,874",,,"559,778",,,,,,"1,013,714",,"437,730","2,040,689",,,,,,"304,779","66,631","695,129",,"83,004",,"107,658"
Insurance trust expenditure,"3,554,956","1,432,216","4,594,257","2,182,761","56,226,475","5,893,565","4,979,289","763,311","10,760,069","7,240,412","1,645,696","1,279,821","16,121,162","2,701,230","2,825,501","1,958,799","4,757,861","4,947,373","1,111,024","4,630,699","7,363,960","8,325,063","5,902,383","2,953,326","5,193,377","1,139,336","881,764","2,922,343","855,666","14,230,713","2,563,999","23,679,873","6,567,142","654,560","17,691,567","2,719,662","6,028,402","12,142,946","1,312,459","3,682,867","623,055","2,874,427","18,705,646","1,843,479","436,970","5,383,450","7,260,928","1,641,886","5,944,022","849,572"
Debt at end of fiscal year,"10,085,032","5,991,444","9,285,124","7,184,471","143,344,994","18,727,660","40,887,801","4,963,995","26,243,144","13,624,252","10,001,827","3,380,611","65,272,158","22,411,367","6,185,137","7,548,371","15,346,875","17,426,218","5,117,550","28,920,091","78,729,954","31,963,637","17,363,665","7,225,292","18,093,900","2,658,644","2,268,176","3,307,058","7,600,010","63,797,724","7,073,796","150,744,529","14,944,427","2,698,209","34,577,997","8,098,840","14,849,274","50,032,574","9,275,273","12,851,131","3,915,357","6,731,354","53,950,255","6,895,064","3,490,331","28,927,950","29,247,354","10,597,341","22,664,234","882,830"
Cash and security holdings,"55,988,366","95,860,208","69,961,402","42,932,463","861,606,748","87,914,982","57,527,387","17,642,780","258,517,311","118,723,392","30,751,138","28,820,467","182,526,797","66,518,715","51,144,868","28,672,088","50,272,195","72,123,153","22,690,290","79,304,781","109,132,162","118,532,008","98,494,660","39,166,176","100,006,316","21,385,151","25,712,564","52,356,820","17,067,225","124,044,766","65,765,951","454,310,035","142,483,488","34,529,467","265,596,689","54,291,902","115,994,270","141,932,031","17,669,591","51,654,683","18,868,437","73,930,726","431,002,859","43,306,867","9,900,674","117,755,981","150,043,532","22,362,612","137,572,078","33,360,329"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
